Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code,Fan-in
Fan-in of 98 for module with 21 lines of code,HIGH,RAW,2026-06-04,54,src/hooks/useLogAction.ts,TypeScript,21,98
Fan-in of 126 for module with 5 lines of code,HIGH,RAW,2026-06-04,54,src/hooks/useContent.ts,TypeScript,5,126
Fan-in of 33 for module with 50 lines of code,MEDIUM,RAW,2026-07-04,24,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts,TypeScript,50,33
Fan-in of 25 for module with 49 lines of code,MEDIUM,RAW,2026-07-18,10,src/api-hooks/mutations/useUpdateDataCore.ts,TypeScript,49,25
Fan-in of 23 for module with 41 lines of code,MEDIUM,RAW,2026-07-01,27,backend/src/helpers/http/routeResponses.ts,TypeScript,41,23
Fan-in of 26 for module with 26 lines of code,MEDIUM,RAW,2026-07-17,11,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandIconPrimitives.tsx,TypeScript,26,26
Fan-in of 32 for module with 24 lines of code,MEDIUM,RAW,2026-07-04,24,src/hooks/wizard/useWizardButtons.ts,TypeScript,24,32
Fan-in of 26 for module with 17 lines of code,MEDIUM,RAW,2026-07-04,24,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17,26
Fan-in of 23 for module with 11 lines of code,MEDIUM,RAW,2026-06-04,54,src/hooks/features/useResetFeatures.ts,TypeScript,11,23
Fan-in of 24 for module with 9 lines of code,MEDIUM,RAW,2026-06-04,54,src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/coords.ts,TypeScript,9,24
Fan-in of 24 for module with 7 lines of code,MEDIUM,RAW,2026-06-04,54,src/helpers/ArcGISHelpers/validateMapView.ts,TypeScript,7,24
Fan-in of 15 for module with 155 lines of code,LOW,RAW,2026-07-28,0,backend/src/helpers/repositories/pointsRepo.ts,TypeScript,155,15
Fan-in of 11 for module with 115 lines of code,LOW,RAW,2026-07-28,0,backend/src/helpers/repositories/flightPlansRepo.ts,TypeScript,115,11
Fan-in of 14 for module with 114 lines of code,LOW,RAW,2026-06-29,29,backend/src/routes/keycloak/management/users/keycloakAdminClient.ts,TypeScript,114,14
Fan-in of 16 for module with 87 lines of code,LOW,RAW,2026-07-01,27,backend/src/helpers/queries/shared/resolveRegioFilter.ts,TypeScript,87,16
Fan-in of 13 for module with 55 lines of code,LOW,RAW,2026-07-18,10,src/api-hooks/mutations/useCreateDataCore.ts,TypeScript,55,13
Fan-in of 12 for module with 51 lines of code,LOW,RAW,2026-07-13,15,src/hooks/zustand/shared/planWizardCore.ts,TypeScript,51,12
Fan-in of 12 for module with 41 lines of code,LOW,RAW,2026-06-10,48,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolMapCleanup.ts,TypeScript,41,12
Fan-in of 16 for module with 26 lines of code,LOW,RAW,2026-07-13,15,backend/src/routes/auth2/authSecurityLog.ts,TypeScript,26,16
Fan-in of 18 for module with 24 lines of code,LOW,RAW,2026-06-04,54,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,24,18
Fan-in of 11 for module with 20 lines of code,LOW,RAW,2026-07-01,27,backend/src/helpers/http/validateBody.ts,TypeScript,20,11
Fan-in of 11 for module with 13 lines of code,LOW,RAW,2026-07-17,11,src/helpers/arcgis/attachmentDisplayUrl.ts,TypeScript,13,11
Fan-in of 11 for module with 12 lines of code,LOW,RAW,2026-06-04,54,src/hooks/handleCancel/useHandleCancel.ts,TypeScript,12,11
Fan-in of 13 for module with 8 lines of code,LOW,RAW,2026-06-04,54,src/api/fetchApi.ts,TypeScript,8,13
Fan-in of 13 for module with 7 lines of code,LOW,RAW,2026-07-04,24,src/hooks/wizard/useWizardCleanup.ts,TypeScript,7,13
Fan-in of 20 for module with 3 lines of code,LOW,RAW,2026-06-04,54,src/helpers/classNames.ts,TypeScript,3,20
